ID,GROUP NO,DESCRIPTION,FUNC,UNIT,TYPE,SENSOR TYPE,ALARM GROUP,INPUT CH,INHIBIT ID,OUT CH,EAU GROUP,RANGE MIN,RANGE MAX,LOW ALARM,HIGH ALARM,OFFSET,SPAN,ON DELAY,OFFDELAY,CONTROL,ENABLE,ALARM LEVEL,VDR,LOLO (INDICATOR),LOW ,HIGH,HIHI,ALARM PRINTER,LOLO ALARM,HIHI ALARM,ONDELAY2,OFFDELAY2,MEAN ID,INPUT ID
377,MP35,HOT WATER CALORIFIER ABNORMAL,XA,,1,0,12,905,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
378,MP36,NO.1 MOORING WINCH H.P.U PP RUN,XI,,1,0,12,909,0,0,3,0,0,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
379,MP37,NO.2 MOORING WINCH H.P.U PP RUN,XI,,1,0,12,910,0,0,3,0,0,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
380,MP38,MOORING WINCH H.P.U ABNORMAL,XA,,1,0,12,911,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
381,MP39,NO.1 WINDLASS H.P.U. PP RUN,XI,,1,0,12,906,0,0,3,0,0,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
382,MP40,NO.2 WINDLASS H.P.U. PP RUN,XI,,1,0,12,907,0,0,3,0,0,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
383,MP41,WINDLASS H.P.U. ABNORMAL,XA,,1,0,12,908,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
384,MP45,NO.1 M/E J.F.W. PREHEATER RUNNING,XI,,1,0,12,1000,175,0,3,0,0,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
385,MP46,NO.1 M/E J.F.W. PREHEATER ABNORMAL,XA,,1,0,12,1001,175,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
386,MP47,NO.2 M/E J.F.W. PREHEATER RUNNING,XI,,1,0,12,1002,205,0,3,0,0,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
387,MP48,NO.2 M/E J.F.W. PREHEATER ABNORMAL,XA,,1,0,12,1003,205,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
390,MP51,NO.1 F.W HYD. PP ABNORMAL,XA,,1,0,12,1012,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
391,MP52,NO.2 F.W HYD. PP ABNORMAL,XA,,1,0,12,1013,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
392,MP53,NO.1 S.W. HYD. PP ABNORMAL,XA,,1,0,12,1014,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
393,MP54,NO.2 S.W. HYD. PP ABNORMAL,XA,,1,0,12,1015,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
394,MP55,NO.1 CIR. PP FOR CALORIFIER ABNORMAL,XA,,1,0,12,1300,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
395,MP56,NO.2 CIR. PP FOR CALORIFIER ABNORMAL,XA,,1,0,12,1301,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
396,MW47,NO.1 AIRCON. C.S.W. PP ABNORMAL,XA,,1,0,12,1302,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
397,MW48,NO.2 AIRCON. C.S.W. PP ABNORMAL,XA,,1,0,12,1303,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
398,MP62,WORKBOAT DAVIT H.P.U ABNORMAL(STBD),XA,,1,0,12,1304,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
399,MP63,WORKBOAT DAVIT H.P.U ABNORMAL(PORT),XA,,1,0,12,1305,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
402,MP76,L.O PURIFIER HEATER RUN,XA,,1,0,12,1308,0,0,3,0,0,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
403,MP77,L.O PURIFIER HEATER ABNORMAL,XA,,1,0,12,1309,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
404,MP78,VACUUMARATOR ABNORMAL,XA,,1,0,12,1310,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
405,MA12,NO.1 MAIN AIR RESERVOIR PRESS. LOW,PAL,,1,0,12,1311,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
406,MA13,NO.2 MAIN AIR RESERVOIR PRESS. LOW,PAL,,1,0,12,1312,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
407,MP83,AIR BOTTLE FOR Q/C VALVE. PRESS. LOW,PAL,,1,0,12,1313,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
412,MP84,FIRE MONITOR CLUTCH OIL LOW PRESS,PIAL,,1,0,12,1400,0,0,3,0,0,20,0,0,0,0,0,275,1,1,0,0,1,0,0,1,0,0,0,0,0,0
413,MP85,FIRE MONITOR SYSTEM OIL LOW PRESS,PIAL,,1,0,12,1401,0,0,3,0,0,5,0,0,0,0,0,275,1,1,0,0,1,0,0,1,0,0,0,0,0,0
414,MP86,FIRE MONITOR SYSTEM OIL HIGH TEMP,TIAH,,1,0,12,1402,0,0,3,0,0,0,0,0,0,0,0,291,1,1,0,0,0,1,0,1,0,0,0,0,0,0
416,MP88,FIRE MONITOR MONITOR ABNORMAL,XA,,1,0,12,1404,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
417,MP89,FIRE MONITOR COMMON ALARM,XA,,1,0,12,1405,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
422,TK01,NO.1 M.D.O. TANK(P),LIAH,mm,3,26,13,327,0,0,5,20,2200,0,0,0,0,15,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
423,TK02,NO.1 M.D.O. TANK(S),LIAH,mm,3,26,13,326,0,0,5,20,2200,0,0,0,0,15,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
424,TK03,NO.2 M.D.O. TANK(P),LIAH,mm,3,26,13,331,0,0,5,20,2200,0,0,0,0,15,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
425,TK04,NO.2 M.D.O. TANK(S),LIAH,mm,3,26,13,330,0,0,5,20,2200,0,0,0,0,15,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
426,TK05,NO.3 M.D.O. TANK(P),LIAH,mm,3,26,13,333,0,0,5,20,1400,0,0,0,0,15,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
427,TK06,NO.3 M.D.O. TANK(S),LIAH,mm,3,26,13,332,0,0,5,20,1400,0,0,0,0,15,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
428,TK07,NO.4 M.D.O. TANK(P),LIAH,mm,3,26,13,335,0,0,5,20,2200,0,0,0,0,15,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
